
 NPM(K)    PM(M)      WS(M)     CPU(s)      Id  SI ProcessName                                                                        PSComputerName
 ------    -----      -----     ------      --  -- -----------                                                                        --------------
     10     1.70       4.04       3.59  239576   3 ApMsgFwd                                                                           172.16.2.77
      8     1.19       3.62      14.92  157540   3 ApntEx                                                                             172.16.2.77
     17     3.56       6.23      10.59   14308   3 Apoint                                                                             172.16.2.77
     24    13.03      26.75       4.23   96472   3 ApplicationFrameHost                                                               172.16.2.77
      8     1.57       0.44       0.05    3016   0 armsvc                                                                             172.16.2.77
      5     2.23       0.42       0.00   44564   0 cmd                                                                                172.16.2.77
      5     2.23       0.42       0.03   52480   0 cmd                                                                                172.16.2.77
      5     2.22       0.42       0.00  211976   0 cmd                                                                                172.16.2.77
      5     2.42       4.29       0.00  260952   3 cmd                                                                                172.16.2.77
     33     7.74       9.74   1,391.97    6032   0 config_api_service                                                                 172.16.2.77
     10     6.53       1.92       4.78    6336   0 conhost                                                                            172.16.2.77
     10     6.54       1.93       8.14   12768   0 conhost                                                                            172.16.2.77
     10     6.57       1.92       5.48   13128   0 conhost                                                                            172.16.2.77
     10     6.53       2.08      10.53   13784   0 conhost                                                                            172.16.2.77
     10     6.53       1.93       7.34   14036   0 conhost                                                                            172.16.2.77
     14     7.39      22.49       1.64   86184   3 conhost                                                                            172.16.2.77
      9     6.55       4.51       1.66  196912   3 conhost                                                                            172.16.2.77
      7     6.08      10.54       0.03  212200   0 conhost                                                                            172.16.2.77
      9     6.42       1.80       0.70  249376   0 conhost                                                                            172.16.2.77
     14     4.19       9.21       3.45  251556   3 conhost                                                                            172.16.2.77
      9     6.41       1.79       0.89  261400   0 conhost                                                                            172.16.2.77
      9     6.41       1.80       0.78  282044   0 conhost                                                                            172.16.2.77
     32     2.76       3.45     994.45     564   0 csrss                                                                              172.16.2.77
     24     2.28       9.01      31.17  106392   3 csrss                                                                              172.16.2.77
     10     1.81       1.36       0.25  287240   4 csrss                                                                              172.16.2.77
     17     5.76      13.14      32.38  284648   3 ctfmon                                                                             172.16.2.77
      7     1.10       2.04       0.05    4484   0 dasHost                                                                            172.16.2.77
      9     1.84       2.48       0.11   14300   0 DDVCollectorSvcApi                                                                 172.16.2.77
     82    62.20      46.17     397.92   16728   0 DDVDataCollector                                                                   172.16.2.77
